"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"Plasma cells",0.215006602532366,0.373922092854737,0.243554006968641,0.296124031007752,-0.137334373201963,-0.277938126850269,-0.227342744726734,-0.22593037214886,0.0574792794162597,-0.0470478298726329,0.248575270595138,0.810245491246163,-0.131686609861884,0.66821337205262
"Platelets",-0.248582549900965,-0.0334994837089388,0.291697906866616,-0.214362926893049,0.0325240326894995,-0.0856070564202949,-0.226149106954248,-0.0374013561534989,-0.103835508482961,-0.114722286727268,-0.0615482123672125,-0.481966144306442,0.0740908176972144,0.346789209293977
"Preadipocytes",-0.689874535483733,-0.636334897341187,-0.118030030164565,-0.118057330684492,-0.231666320289343,-0.209340151252556,-0.0883159731974364,0.262136854741897,0.246876780809241,0.0166343505305417,-0.292972994495494,-0.281069216589516,-0.045857703197156,-0.43490541129906
"pro B-cells",-0.00729131065433012,0.231052103928641,0.0112070335723136,-0.184865196496991,-0.245392321200864,-0.142049254880443,-0.138911207069657,-0.071712105830285,-0.0637092207491203,-0.0487771745848779,-0.0998787593585475,0.554954959569515,-0.0109455223073378,0.56267282207367
"Sebocytes",0.723124246884366,0.726272276963906,0.172996515679443,-0.476109936575053,0.280869565217391,0.309441121615538,0.254032258064516,0.170804321728691,0.234015195791935,0.437959183673469,0.364893707845983,0.322940066604436,0.248638838475499,0.835922089250142
"Skeletal muscle",-0.746818852061402,-0.556252968695109,0.271870687154536,-0.554420328914791,-0.236465849874798,-0.0169522800034723,0.123482932819682,0.381854626802952,0.0596740082497263,0.130717620389994,-0.31355735469301,-0.741668777742436,0.0428874709454,-0.634105025409373
"Smooth muscle",-0.496491228070175,0.170590095818119,-0.547212543554007,0.124735729386892,0.243478260869565,0.0428644928934337,0.0571847507331378,-0.13046818727491,-0.38708357685564,-0.382142857142857,-0.245795270212584,-0.848720800889878,-0.124611646005722,-0.0728402032749859
"Tgd cells",0.119952182388128,-0.277360413232949,-0.403121695419352,-0.130621474485683,-0.142234685591521,-0.0946811065198092,0.00336771634962769,0.398651377966175,0.0975209253849984,-0.0288288340284134,0.152012254141627,-0.418448730889665,-0.00834442997665639,-0.17703315311524
"Th1 cells",0.208771929824561,0.249796205257368,0.109407665505227,-0.360253699788584,0.339130434782609,0.496720046305229,0.329178885630499,-0.295654261704682,-0.25791934541204,-0.11469387755102,0.572697003329634,0.646273637374861,-0.333538404749454,0.284020327498588
"Th2 cells",-0.598245614035088,0.043973781630038,-0.0893728222996516,-0.0791255485898508,-0.348062353478226,-0.230838103111799,0.0971554682540127,-0.266468163460566,-0.0805169670906487,-0.409683676232054,-0.301254192392261,0.319243604004449,0.00813574313097958,-0.264520650847205
"Tregs",0.119390902102972,0.0161139855234781,-0.0911193053909156,-0.0210171641760756,0.153432039995098,-0.113901997082446,-0.287128310525104,0.114474245271684,0.356910251231358,0.276659101076662,-0.0401770040336453,0.0150841523843218,0.105815746961224,-0.0172657530087738
